"(bands, hashes)", probability at 0.7, probability at 0.9, amount of candidate pairs
"(1, 1)",0.7,0.9,0.008379888268156424,1074
"(1, 2)",0.49,0.81,0.5,20
"(1, 3)",0.34299999999999997,0.7290000000000001,1.0,10
"(1, 4)",0.24009999999999998,0.6561,1.0,9
"(1, 5)",0.16806999999999994,0.5904900000000001,1.0,9
"(1, 6)",0.117649,0.531441,1.0,9
"(1, 7)",0.08235429999999999,0.47829690000000014,1.0,10
"(1, 8)",0.05764800999999997,0.4304672100000001,1.0,10
"(1, 9)",0.040353607000000014,0.38742048900000015,1.0,10
"(1, 10)",0.028247524899999932,0.34867844010000004,1.0,9
"(1, 11)",0.019773267429999963,0.31381059609000006,1.0,9
"(1, 12)",0.013841287200999974,0.2824295364810001,1.0,9
"(1, 13)",0.009688901040699971,0.2541865828329001,1.0,8
"(1, 14)",0.006782230728490046,0.22876792454961015,1.0,10
"(1, 15)",0.0047475615099430435,0.20589113209464904,1.0,7
"(1, 16)",0.0033232930569601082,0.18530201888518416,1.0,9
"(1, 17)",0.002326305139872087,0.16677181699666577,1.0,9
"(1, 18)",0.0016284135979104386,0.15009463529699918,1.0,10
"(1, 19)",0.0011398895185372737,0.13508517176729928,1.0,9
"(1, 20)",0.0007979226629760694,0.12157665459056932,1.0,8
"(1, 21)",0.0005585458640833263,0.10941898913151238,1.0,7
"(1, 22)",0.0003909821048583284,0.09847709021836115,1.0,8
"(1, 23)",0.000273687473400841,0.08862938119652508,1.0,8
"(1, 24)",0.00019158123138052208,0.07976644307687253,1.0,7
"(1, 25)",0.00013410686196635435,0.07178979876918534,1.0,6
"(1, 26)",9.387480337652576e-05,0.06461081889226672,1.0,8
"(1, 27)",6.571236236352362e-05,0.05814973700304005,1.0,9
"(1, 28)",4.5998653654510946e-05,0.05233476330273612,1.0,7
"(1, 29)",3.219905755813546e-05,0.04710128697246252,1.0,9
"(1, 30)",2.2539340290728127e-05,0.04239115827521622,1.0,9
"(1, 31)",1.5777538203476382e-05,0.038152042447694656,1.0,9
"(1, 32)",1.1044276742477876e-05,0.0343368382029251,1.0,7
"(1, 33)",7.730993719756718e-06,0.03090315438263258,1.0,7
"(1, 34)",5.411695603751987e-06,0.027812838944369367,1.0,5
"(1, 35)",3.7881869227041065e-06,0.025031555049932486,1.0,5
"(1, 36)",2.6517308459039768e-06,0.022528399544939237,1.0,10
"(1, 37)",1.856211592099477e-06,0.020275559590445247,1.0,10
"(1, 38)",1.2993481144363273e-06,0.018248003631400778,1.0,5
"(1, 39)",9.09543680149838e-07,0.016423203268260633,1.0,7
"(1, 40)",6.366805760382732e-07,0.014780882941434648,1.0,6
"(1, 41)",4.4567640322679125e-07,0.013302794647291116,1.0,5
"(1, 42)",3.119734822698561e-07,0.011972515182562038,1.0,7
"(1, 43)",2.183814376000015e-07,0.010775263664305812,1.0,8
"(1, 44)",1.5286700627559213e-07,0.009697737297875264,1.0,5
"(1, 45)",1.0700690444842564e-07,0.008727963568087693,1.0,7
"(1, 46)",7.490483311389795e-08,0.00785516721127899,1.0,2
"(1, 47)",5.2433383190830796e-08,0.007069650490151069,1.0,5
"(1, 48)",3.670336823358156e-08,0.00636268544113594,1.0,6
"(1, 49)",2.569235779681378e-08,0.005726416897022357,1.0,4
"(1, 50)",1.7984650435565186e-08,0.005153775207320077,1.0,3
"(1, 51)",1.258925530489563e-08,0.004638397686588136,1.0,6
"(1, 52)",8.812478746733632e-09,0.004174557917929311,1.0,5
"(1, 53)",6.168735078304621e-09,0.0037571021261363358,1.0,7
"(1, 54)",4.3181145326087744e-09,0.0033813919135227133,1.0,7
"(1, 55)",3.022680217235063e-09,0.003043252722170431,1.0,5
"(1, 56)",2.115876140962314e-09,0.00273892744995341,1.0,4
"(1, 57)",1.4811133430825407e-09,0.002465034704958069,1.0,6
"(1, 58)",1.0367793290555483e-09,0.002218531234462251,1.0,2
"(1, 59)",7.257454637255023e-10,0.0019966781110160037,1.0,5
"(1, 60)",5.080218468123121e-10,0.0017970102999144144,1.0,4
"(1, 61)",3.5561531497307897e-10,0.001617309269922984,1.0,3
"(1, 62)",2.4893076489007626e-10,0.0014555783429306413,1.0,4
"(1, 63)",1.7425150211636264e-10,0.0013100205086375993,1.0,4
"(1, 64)",1.2197609589037484e-10,0.001179018457773906,1.0,5
"(1, 65)",8.538325602103214e-11,0.001061116611996482,1.0,6
"(1, 66)",5.976830141918299e-11,0.0009550049507968117,1.0,4
"(1, 67)",4.183775548227686e-11,0.0008595044557171416,1.0,2
"(1, 68)",2.928646214428454e-11,0.0007735540101454497,1.0,5
"(1, 69)",2.050049019430844e-11,0.0006961986091308381,1.0,7
"(1, 70)",1.4350409749397386e-11,0.0006265787482178098,1.0,4
"(1, 71)",1.0045297926808416e-11,0.0005639208733960732,1.0,3
"(1, 72)",7.0317085487658915e-12,0.0005075287860564215,1.0,4
"(1, 73)",4.9221737796756315e-12,0.00045677590745074603,1.0,3
"(1, 74)",3.445466134621711e-12,0.00041109831670571584,1.0,2
"(1, 75)",2.41184849869569e-12,0.00036998848503511095,1.0,2
"(1, 76)",1.6883161535474756e-12,0.00033298963653161096,1.0,4
"(1, 77)",1.1818324097134791e-12,0.00029969067287849427,1.0,4
"(1, 78)",8.272271756482041e-13,0.00026972160559057823,1.0,3
"(1, 79)",5.790923296444817e-13,0.0002427494450315537,1.0,4
"(1, 80)",4.0534242629064465e-13,0.00021847450052836503,1.0,5
"(1, 81)",2.8377300509419e-13,0.00019662705047551743,1.0,3
"(1, 82)",1.986188991054405e-13,0.0001769643454280212,1.0,7
"(1, 83)",1.389999226830696e-13,0.00015926791088516357,1.0,6
"(1, 84)",9.736655925962623e-14,0.0001433411197966361,1.0,5
"(1, 85)",6.816769371198461e-14,0.0001290070078170391,1.0,4
"(1, 86)",4.773959005888173e-14,0.00011610630703529079,1.0,6
"(1, 87)",3.341771304121721e-14,0.00010449567633175061,1.0,4
"(1, 88)",2.3314683517128287e-14,9.404610869856445e-05,1.0,4
"(1, 89)",1.63202784619898e-14,8.46414978287191e-05,1.0,6
"(1, 90)",1.1435297153639112e-14,7.61773480458805e-05,1.0,4
"(1, 91)",7.993605777301127e-15,6.855961324125914e-05,1.0,4
"(1, 92)",5.662137425588298e-15,6.170365191715543e-05,1.0,4
"(1, 93)",3.885780586188048e-15,5.5533286725473197e-05,1.0,4
"(1, 94)",2.7755575615628914e-15,4.997995805289257e-05,1.0,5
"(1, 95)",1.887379141862766e-15,4.4981962247558904e-05,1.0,2
"(1, 96)",1.3322676295501878e-15,4.048376602283632e-05,1.0,3
"(1, 97)",8.881784197001252e-16,3.643538942055269e-05,1.0,4
"(1, 98)",6.661338147750939e-16,3.279185047855293e-05,1.0,1
"(1, 99)",4.440892098500626e-16,2.951266543060882e-05,1.0,2
"(2, 2)",0.9099999999999999,0.99,0.002208480565371025,4528
"(2, 4)",0.7399,0.9639,0.21739130434782608,46
"(2, 6)",0.5683509999999999,0.926559,0.9090909090909091,11
"(2, 8)",0.42255199,0.88173279,1.0,10
"(2, 10)",0.30789247509999995,0.8323015599000001,1.0,10
"(2, 12)",0.22145671279900003,0.780452463519,1.0,10
"(2, 14)",0.15792636927150994,0.7278258754503901,1.0,10
"(2, 16)",0.11197272694303984,0.675632401114816,1.0,10
"(2, 18)",0.07907880040208959,0.6247463427030011,1.0,9
"(2, 20)",0.055697127137023794,0.5757802256094308,1.0,10
"(2, 22)",0.0391555527551416,0.529144101961639,1.0,10
"(2, 24)",0.027490993170619427,0.4850926298851277,1.0,9
"(2, 26)",0.019283927278023416,0.44376234677353343,1.0,10
"(2, 28)",0.013518462803325582,0.4052010857964842,1.0,10
"(2, 30)",0.009472583679595359,0.36939110591408186,1.0,10
"(2, 32)",0.006635541837177739,0.3362671995674432,1.0,9
"(2, 34)",0.004647198584140422,0.30573079504896217,1.0,10
"(2, 36)",0.0032541754649749732,0.2776608710490591,1.0,10
"(2, 38)",0.002278479688960111,0.2519223399031978,1.0,8
"(2, 40)",0.0015952086453761005,0.228372426239704,1.0,10
"(2, 42)",0.0011167797546843827,0.20686546308046272,1.0,10
"(2, 44)",0.0007818113427103812,0.18725644313884704,1.0,8
"(2, 46)",0.0005473000419685681,0.16940359518177117,1.0,10
"(2, 48)",0.00038312575939281057,0.15317020071260912,1.0,9
"(2, 50)",0.00026819573928227314,0.1384258223310506,1.0,8
"(2, 52)",0.0001877407942743048,0.12504707986660413,1.0,8
"(2, 54)",0.00013142040661251464,0.11291808209255738,1.0,9
"(2, 56)",9.199519143288093e-05,0.10193059915551883,1.0,8
"(2, 58)",6.439707833694186e-05,0.09198404271046279,1.0,8
"(2, 60)",4.507817255960944e-05,0.08298530625051803,1.0,9
"(2, 62)",3.1554827476187874e-05,0.07484850655245867,1.0,9
"(2, 64)",2.2088431508859863e-05,0.0674946579480763,1.0,8
"(2, 66)",1.5461927671212017e-05,0.06085130381446835,1.0,10
"(2, 68)",1.082336192104183e-05,0.054852123878593284,1.0,8
"(2, 70)",7.576359494998464e-06,0.04943653135164716,1.0,8
"(2, 72)",5.303454660099405e-06,0.04454927030382205,1.0,9
"(2, 74)",3.7124197387328195e-06,0.04014002086418478,1.0,8
"(2, 76)",2.598694540556501e-06,0.036163017626269944,1.0,7
"(2, 78)",1.8190865330725003e-06,0.03257668493093069,1.0,9
"(2, 80)",1.2733607467341201e-06,0.02934329138234093,1.0,10
"(2, 82)",8.913526078346834e-07,0.02642862494915421,1.0,9
"(2, 84)",6.23946867173153e-07,0.02380168924532744,1.0,7
"(2, 86)",4.3676282746041295e-07,0.021434421021576333,1.0,10
"(2, 88)",3.0573398923650075e-07,0.019301428487051964,1.0,10
"(2, 90)",2.1401379746155413e-07,0.017379749788129506,1.0,7
"(2, 92)",1.4980966056565848e-07,0.015648630770640826,1.0,9
"(2, 94)",1.0486676360610403e-07,0.014089321022249246,1.0,10
"(2, 96)",7.340673513489548e-08,0.012684887116249044,1.0,8
"(2, 98)",5.1384714927493746e-08,0.011420041943566162,1.0,6
"(3, 3)",0.973,0.999,0.00033032735440821854,30273
"(3, 6)",0.8673489999999999,0.993141,0.10638297872340426,94
"(3, 9)",0.7164066069999999,0.980097489,0.9090909090909091,11
"(3, 12)",0.561197257201,0.959327906481,1.0,10
"(3, 15)",0.42421498680994285,0.931325811794649,1.0,10
"(3, 18)",0.3130515519949104,0.8971290258539991,1.0,10
"(3, 21)",0.22727475367861327,0.8580059154826825,1.0,10
"(3, 24)",0.16316573206050022,0.8152620164213203,1.0,10
"(3, 27)",0.11624129256863225,0.7701272981120428,1.0,10
"(3, 30)",0.0823713460513621,0.7236965148035084,1.0,10
"(3, 33)",0.05815458696914466,0.6769036719975493,1.0,10
"(3, 36)",0.04095176963970404,0.6305176797573218,1.0,10
"(3, 39)",0.028785988255650596,0.5851504950901606,1.0,10
"(3, 42)",0.020209008197988987,0.5412719989231841,1.0,10
"(3, 45)",0.014175173515861506,0.49922788502638615,1.0,9
"(3, 48)",0.009936783044021236,0.459258227487913,1.0,10
"(3, 51)",0.0069626929220601985,0.4215153318434772,1.0,10
"(3, 54)",0.0048772899193083585,0.38608009916970265,1.0,10
"(3, 57)",0.0034157719923817442,0.3529765391126537,1.0,10
"(3, 60)",0.002391858455221829,0.32218432524731855,1.0,10
"(3, 63)",0.0016747018460546714,0.29364944235548873,1.0,10
"(3, 66)",0.0011724877733242378,0.2672930637122546,1.0,10
"(3, 69)",0.0008208377262037825,0.24301884056486922,1.0,10
"(3, 72)",0.000574633591068574,0.2207188016932662,1.0,10
"(3, 75)",0.00040226663435960486,0.2002780591706308,1.0,10
"(3, 78)",0.0002815979735206753,0.1815785045286029,1.0,10
"(3, 81)",0.00019712413303063503,0.16450166231902752,1.0,10
"(3, 84)",0.0001379896134324765,0.14893084867814477,1.0,9
"(3, 87)",9.659406236983692e-05,0.13475276289033256,1.0,10
"(3, 90)",6.761649681807924e-05,0.1218586212739512,1.0,10
"(3, 93)",4.73318678222423e-05,0.1101449256010173,1.0,9
"(3, 96)",3.313246430058925e-05,0.09951394300147653,1.0,10
"(3, 99)",2.3192801854921008e-05,0.08987396096093792,1.0,10
"(4, 4)",0.9919,0.9999,0.0005319431884674717,18799
"(4, 8)",0.93234799,0.99869679,0.18181818181818182,55
"(4, 12)",0.813679140799,0.994606419519,0.8333333333333334,12
"(4, 16)",0.6665537957470399,0.9860128670388159,0.9090909090909091,11
"(4, 20)",0.5209871739767957,0.9718772331880268,1.0,10
"(4, 24)",0.3938703499542613,0.951798879225124,1.0,10
"(4, 28)",0.2909120004317386,0.9259212459256535,1.0,10
"(4, 32)",0.21140756230701918,0.8947856607934603,1.0,10
"(4, 36)",0.1519041441311456,0.8591846926852265,1.0,10
"(4, 40)",0.10829208430272974,0.8200375830160145,1.0,10
"(4, 44)",0.07677794819872263,0.7782947232824886,1.0,9
"(4, 48)",0.0542262316357317,0.7348704002013858,1.0,10
"(4, 52)",0.038195984704782804,0.690599673133113,1.0,10
"(4, 56)",0.02685417677008639,0.6462142516623186,1.0,10
"(4, 60)",0.018855437517623863,0.6023324226997353,1.0,10
"(4, 64)",0.013227053258882626,0.5594587696299558,1.0,10
"(4, 68)",0.009272800713600371,0.5179902710566537,1.0,10
"(4, 72)",0.0064977612719931965,0.47822618278639606,1.0,10
"(4, 76)",0.0045517679082272,0.44037981446409324,1.0,10
"(4, 80)",0.0031878726001297597,0.404590887412799,1.0,10
"(4, 84)",0.002232312312348217,0.37093760634543116,1.0,10
"(4, 88)",0.001563011456445107,0.3394479107806818,1.0,10
"(4, 92)",0.0010943005466012012,0.310109612303033,1.0,10
"(4, 96)",0.0007661047334381887,0.2828792910388772,1.0,10
"(5, 5)",0.99757,0.99999,0.0006518479890489537,15341
"(5, 10)",0.9654974749,0.9997523901,0.08130081300813008,123
"(5, 15)",0.877587195504943,0.998538339689649,0.9090909090909091,11
"(5, 20)",0.7466142293881756,0.9951898249746488,1.0,10
"(5, 25)",0.6014948596465157,0.9884834457628289,1.0,10
"(5, 30)",0.46518089715249233,0.9774149310508449,1.0,10
"(5, 35)",0.34930844627458313,0.9613528843552758,1.0,10
"(5, 40)",0.2568683470410684,0.9400769838436931,1.0,10
"(5, 45)",0.18612787099720607,0.9137394279038014,1.0,10
"(5, 50)",0.13348062585491538,0.8827865978466163,1.0,10
"(5, 55)",0.0950330647262625,0.8478681883255093,1.0,10
"(5, 60)",0.06731695799083359,0.8097508301799015,1.0,10
"(5, 65)",0.04751480862952606,0.7692450849467893,1.0,10
"(5, 70)",0.03345427627569797,0.7271490830447607,1.0,10
"(5, 75)",0.023513481678155035,0.6842086503874232,1.0,10
"(5, 80)",0.016506388941583405,0.6410919490196879,1.0,10
"(5, 85)",0.011577534489511376,0.598375909362606,1.0,10
"(5, 90)",0.008115593827092371,0.5565416335885951,1.0,10
"(5, 95)",0.005686468914234966,0.5159762033516592,1.0,10
"(6, 6)",0.999271,0.999999,0.00032276805887289394,30982
"(6, 12)",0.982403712199,0.999952954119,0.04048582995951417,247
"(6, 18)",0.9195747874467475,0.9996038900558949,0.20833333333333334,48
"(6, 24)",0.8074521529120746,0.9983457808087817,0.6666666666666666,15
"(6, 30)",0.6684716185857258,0.995283855874336,0.9090909090909091,11
"(6, 36)",0.5281018297833988,0.9894175626782529,1.0,10
"(6, 42)",0.4028956936975522,0.9798376799620889,1.0,10
"(6, 48)",0.2997084080021615,0.9658718774232835,1.0,10
"(6, 54)",0.21897054703923813,0.9471585409267304,1.0,10
"(6, 60)",0.15795765345241097,0.9236563840682721,1.0,10
"(6, 66)",0.11292721795273764,0.8956087628313328,1.0,10
"(6, 72)",0.08022649184278474,0.863482815028087,1.0,10
"(6, 78)",0.05674334339144682,0.8278998882760611,1.0,10
"(6, 84)",0.040009612383631654,0.7895686210280688,1.0,10
"(6, 90)",0.02814941148751815,0.7492272888648537,1.0,10
"(6, 96)",0.019774826430778547,0.7075983354604863,1.0,10
"(7, 7)",0.9997813,0.9999999,0.00023772167546236866,42066
"(7, 14)",0.99102589322149,0.99999106128261,0.02666666666666667,375
"(7, 21)",0.9471606353525132,0.9998926542051475,0.8333333333333334,12
"(7, 28)",0.8536828909978855,0.9994311140201401,1.0,10
"(7, 35)",0.7241915936500227,0.9980686918190993,1.0,10
"(7, 42)",0.5836201776112118,0.9950415037509595,1.0,10
"(7, 49)",0.45206980087007587,0.9894812551330296,1.0,10
"(7, 56)",0.3400788247005687,0.9805629151314207,1.0,10
"(7, 63)",0.25048790263944165,0.96763040484037,1.0,10
"(7, 70)",0.1817432656033684,0.9502757569829405,1.0,10
"(7, 77)",0.1304675453020322,0.9283678391938048,1.0,10
"(7, 84)",0.09295734112906007,0.9020393003013953,1.0,10
"(7, 91)",0.06588246379330853,0.8716454275803295,1.0,10
"(7, 98)",0.046520488689578365,0.83770857085559,1.0,10
"(8, 8)",0.99993439,0.99999999,0.00020240866309078029,49405
"(8, 16)",0.9954232055429599,0.9999983016436959,0.06097560975609756,164
"(8, 24)",0.9652845374266011,0.999970909289595,0.9090909090909091,11
"(8, 32)",0.8888136288692932,0.9998043601115262,0.9090909090909091,11
"(8, 40)",0.7705467125052634,0.9992091099868394,1.0,10
"(8, 48)",0.6326068473354303,0.9976766519560458,1.0,10
"(8, 56)",0.49719420886828136,0.9945123381947925,1.0,10
"(8, 64)",0.37812196721344205,0.9889299428253312,1.0,10
"(8, 72)",0.2807334192580754,0.9801710492258459,1.0,10
"(8, 80)",0.2048569930828299,0.9676135284732822,1.0,10
"(8, 88)",0.14766104306783945,0.9508467702756117,1.0,10
"(8, 96)",0.10551197907405141,0.9297062953106268,1.0,10
"(9, 9)",0.999980317,0.999999999,0.00015571230594353872,64221
"(9, 18)",0.9976658348269095,0.9999996773123022,0.07042253521126761,142
"(9, 27)",0.977191941089277,0.9999921164174802,0.6666666666666666,15
"(9, 36)",0.9155094765777759,0.9999327194423538,1.0,10
"(9, 45)",0.8091109265345038,0.9996761226307106,1.0,10
"(9, 54)",0.6758302843532642,0.9989113743638729,1.0,10
"(9, 63)",0.5386024278328803,0.9971370698244717,1.0,10
"(9, 72)",0.41397199826630193,0.9936952394518513,1.0,10
"(9, 81)",0.30975842018556876,0.9878531910311256,1.0,10
"(9, 90)",0.22731781496978343,0.9789059928455612,1.0,10
"(9, 99)",0.16451456920426621,0.9662715745951707,1.0,10
"(10, 10)",0.9999940951,0.9999999999,0.00012350710783405586,80967
"(10, 20)",0.9988095757617239,0.9999999386893375,0.03759398496240601,266
"(10, 30)",0.985015105295655,0.9999978635491371,0.5,20
"(10, 40)",0.9357956512514519,0.9999768622162255,0.9090909090909091,11
"(10, 50)",0.8411936531118498,0.9998673689785023,1.0,10
"(10, 60)",0.713968527229387,0.9994899146605619,1.0,10
"(10, 70)",0.5766005019104029,0.9985064004523433,1.0,10
"(10, 80)",0.44775534637052616,0.996409232134731,1.0,10
"(10, 90)",0.33761215763245955,0.9925591137016365,1.0,10
"(11, 11)",0.99999822853,0.99999999999,0.00011335064506821648,97044
"(11, 22)",0.9993928836384792,0.9999999883509741,0.011750881316098707,851
"(11, 33)",0.9901549241792453,0.9999994210218162,0.5555555555555556,18
"(11, 44)",0.9512111153859782,0.99999204291616,0.7692307692307693,13
"(11, 55)",0.8678842358333412,0.9999456862703865,1.0,10
"(11, 66)",0.7476198439693769,0.9997609949234382,1.0,10
"(11, 77)",0.611469271195923,0.999220784485829,1.0,10
"(11, 88)",0.47959115168540456,0.997954939959451,1.0,10
"(11, 99)",0.3643418963049372,0.9954418655099418,1.0,10
"(12, 12)",0.999999468559,0.999999999999,0.00011602139434511724,86191
"(12, 24)",0.9996903706556244,0.9999999977866851,0.016233766233766232,616
"(12, 36)",0.9935317851857641,0.9999998430969121,0.7142857142857143,14
"(12, 48)",0.962925326581805,0.9999972635588674,0.9090909090909091,11
"(12, 60)",0.8900889323168315,0.999977757984586,1.0,10
"(12, 72)",0.7773121169462237,0.9998880120203313,1.0,10
"(12, 84)",0.6434664473950726,0.9995934808506889,1.0,10
"(12, 96)",0.5095916861771328,0.9988352712493886,1.0,10
"(13, 13)",0.9999998405677,0.9999999999999,9.083102127097371e-05,121104
"(13, 26)",0.9998420890343684,0.9999999995794702,0.024390243902439025,410
"(13, 39)",0.9957503828670471,0.9999999574792632,0.30303030303030304,33
"(13, 52)",0.9718269556695136,0.9999990589378945,1.0,10
"(13, 65)",0.9085616854623416,0.9999908916722678,1.0,10
"(13, 78)",0.8035111236996174,0.9999475270242344,1.0,10
"(13, 91)",0.6728285185463645,0.999787917699595,1.0,10
"(14, 14)",0.99999995217031,0.99999999999999,7.596055575504792e-05,144812
"(14, 28)",0.9999194654075279,0.9999999999200994,0.02518891687657431,397
"(14, 42)",0.99720800154365,0.9999999884768803,0.7692307692307693,13
"(14, 56)",0.9785913036132633,0.9999996763687419,1.0,10
"(14, 70)",0.9239297229866859,0.9999962700487104,1.0,10
"(14, 84)",0.8266278435074811,0.9999754133149482,1.0,10
"(14, 98)",0.6997724968814416,0.9998893560064236,1.0,10
"(15, 15)",0.999999985651093,0.999999999999999,7.162810686913545e-05,139610
"(15, 30)",0.9999589273578392,0.9999999999848189,0.006031363088057901,1658
"(15, 45)",0.998165657014178,0.9999999968772346,0.15384615384615385,65
"(15, 60)",0.9837315316157188,0.9999998887032103,1.0,10
"(15, 75)",0.9367148544443136,0.9999984725476474,1.0,10
"(15, 90)",0.8470249043466694,0.9999884796874389,1.0,10
"(16, 16)",0.9999999956953279,0.9999999999999999,5.053797676263828e-05,197871
"(16, 32)",0.999979052952498,0.9999999999971156,0.00801924619085806,1247
"(16, 48)",0.9987948366583149,0.9999999991537306,0.38461538461538464,26
"(16, 64)",0.9876375908747848,0.999999961725034,1.0,10
"(16, 80)",0.9473511888578577,0.999999374492987,1.0,10
"(16, 96)",0.8650222713751882,0.9999946020538667,1.0,10
"(17, 17)",0.9999999987085983,1.0,7.102878086200529e-05,140788
"(17, 34)",0.999989317005774,0.999999999999452,0.01953125,512
"(17, 51)",0.9992082076845129,0.999999999770661,0.5882352941176471,17
"(17, 68)",0.9906058053057489,0.9999999868372392,0.9090909090909091,11
"(17, 85)",0.9561998745465177,0.9999997438486231,1.0,10
"(18, 18)",0.9999999996125795,1.0,6.55965679875629e-05,152447
"(18, 36)",0.9999945516729447,0.9999999999998959,0.01524390243902439,656
"(18, 54)",0.999479792448725,0.9999999999378492,0.625,16
"(18, 72)",0.9928613514518386,0.9999999954733265,1.0,10
"(18, 90)",0.9635613616314844,0.9999998951034497,1.0,10
"(19, 19)",0.9999999998837739,1.0,5.02298013411357e-05,199085
"(19, 38)",0.9999972213532018,0.9999999999999802,0.015772870662460567,634
"(19, 57)",0.9996582236388123,0.9999999999831571,0.5882352941176471,17
"(19, 76)",0.9945753409682522,0.999999998443277,1.0,10
"(19, 95)",0.9696856035820808,0.9999999570438137,1.0,10
"(20, 20)",0.9999999999651321,1.0,4.673617894348194e-05,213967
"(20, 40)",0.9999985828901329,0.9999999999999962,0.008539709649871904,1171
"(20, 60)",0.9997754529306997,0.9999999999954355,0.5882352941176471,17
"(20, 80)",0.9958778016017749,0.9999999994646429,0.9090909090909091,11
"(21, 21)",0.9999999999895397,1.0,2.8935185185185186e-05,380160
"(21, 42)",0.9999992772739678,0.9999999999999993,0.008539709649871904,1171
"(21, 63)",0.9998524725754697,0.999999999998763,0.5,20
"(21, 84)",0.9968675414371887,0.9999999998158907,1.0,10
"(22, 22)",0.9999999999968618,1.0,4.5199442540208674e-05,265490
"(22, 44)",0.9999996314097236,0.9999999999999999,0.00511770726714432,1954
"(22, 66)",0.9999030744820836,0.9999999999996648,0.16666666666666666,60
"(22, 88)",0.9976196447381197,0.9999999999366849,1.0,10
"(23, 23)",0.9999999999990585,1.0,4.389285753475766e-05,273393
"(23, 46)",0.999999812018959,1.0,0.01053740779768177,949
"(23, 69)",0.9999363199347289,0.9999999999999092,0.4166666666666667,24
"(23, 92)",0.9981911680364971,0.9999999999782259,1.0,10
"(24, 24)",0.9999999999997176,1.0,4.465282429113641e-05,268740
"(24, 48)",0.9999999041296691,1.0,0.009099181073703366,1099
"(24, 72)",0.9999581621971169,0.9999999999999754,0.5263157894736842,19
"(24, 96)",0.9986254685909342,0.9999999999925119,0.9090909090909091,11
